,aspect,document,sentiment
196,LAPTOP#DESIGN_FEATURES,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,positive
197,DISPLAY#QUALITY,The only problem is a lack of screen resolutions!,negative
198,LAPTOP#PRICE,"If you need an affordable, entry-level laptop, this will fit the bill.",positive
199,LAPTOP#PORTABILITY,"I dislike the weight and size, cubersome.",negative
200,MULTIMEDIA_DEVICES#QUALITY,I dislike the quality and the placement of the speakers.,negative
201,LAPTOP#GENERAL,"Overall, it's ok.",neutral
202,LAPTOP#DESIGN_FEATURES,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",negative
203,LAPTOP#DESIGN_FEATURES,This laptop is very large and barely fits in any carrying cases.,negative
204,LAPTOP#OPERATION_PERFORMANCE,Peformance is good for the price.,positive
205,LAPTOP#PORTABILITY,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",negative
206,LAPTOP#QUALITY,Had to have this computer repaired twice in the first 5 months after purchasing it.,negative
207,LAPTOP#MISCELLANEOUS,Not good for a person who gets online daily.,negative
208,LAPTOP#MISCELLANEOUS,May be better for the occasional web surfer.,neutral
209,LAPTOP#GENERAL,"I just got this laptop for college, and so far I am very happy with it.",positive
210,,I really wanted a Mac over a pc because I used a Mac in high school.,
211,LAPTOP#USABILITY,It is so much easier to use,positive
212,KEYBOARD#GENERAL,"Good keyboard, long battery life, largest hard drive and windows 7.",positive
213,COMPANY#GENERAL,And Toshiba is a quality supplier.,positive
214,LAPTOP#GENERAL,I love this little one.,positive
215,KEYBOARD#QUALITY,The keyboard has a wonderful nature feel.,positive
216,,I like it better than my big Dell Laptop.,
217,,Seriously considering a larger laptop to replace the Dell,
218,BATTERY#OPERATION_PERFORMANCE,great battery life.,positive
219,KEYBOARD#DESIGN_FEATURES,Keyboard is reasonable size.,positive
220,DISPLAY#DESIGN_FEATURES,Small screen somewhat limiting but great for travel.,negative
221,POWER_SUPPLY#DESIGN_FEATURES,Charger seems large for this class of computer.,negative
222,LAPTOP#GENERAL,"Great Laptop for the price, works well with action pack games.",positive
223,KEYBOARD#DESIGN_FEATURES,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",negative
224,LAPTOP#GENERAL,but other then that I would give this product a 4 in hafe stars.,positive
225,LAPTOP#MISCELLANEOUS,Good for every day computing and web browsing.,positive
226,LAPTOP#MISCELLANEOUS,A great computer for light home use and business use.,positive
227,LAPTOP#MISCELLANEOUS,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,neutral
228,DISPLAY#QUALITY,"Crisp screen, great battery life, and plenty of storage.",positive
229,LAPTOP#GENERAL,Very happy.,positive
230,,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",
231,,so we got a good deal on hsn for an ascer notebook and we bought it for him.,
232,LAPTOP#GENERAL,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,positive
233,,now he mows yards so he can earn the money for the wireless internet.,
234,LAPTOP#MISCELLANEOUS,I would recomend this acer to parents and grandparents it can really help them in school.,positive
235,LAPTOP#MISCELLANEOUS,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,negative
236,LAPTOP#MISCELLANEOUS,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",negative
237,LAPTOP#GENERAL,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",positive
238,LAPTOP#OPERATION_PERFORMANCE,It's fast and has excellent battery life.,positive
239,DISPLAY#QUALITY,The screen shows great colors.,positive
240,LAPTOP#OPERATION_PERFORMANCE,I was surprised with the performance and quality of this HP Laptop.,positive
241,LAPTOP#OPERATION_PERFORMANCE,the speed is fine.,positive
242,,Laptop is to be used like a Netbook.,
243,DISPLAY#DESIGN_FEATURES,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",positive
244,LAPTOP#GENERAL,Love it.,positive
245,LAPTOP#GENERAL,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",positive
246,BATTERY#OPERATION_PERFORMANCE,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,negative
247,LAPTOP#MISCELLANEOUS,This computer is the ideal college companion.,positive
248,LAPTOP#OPERATION_PERFORMANCE,It's software and speed enable it to do amazing things.,positive
249,LAPTOP#GENERAL,I am not happy at all with the product I purchased.,negative
250,LAPTOP#PRICE,"A cheaper price should not equal a ""cheap"" product.",neutral
251,LAPTOP#GENERAL,It was over rated!,negative
252,LAPTOP#GENERAL,The Toshiba laptop was a great purchase.,positive
253,LAPTOP#PRICE,"The price was very good, and the product is top quality.",positive
254,SHIPPING#QUALITY,"The delivery was fast, and I would not hesitate to purchase this laptop again.",positive
255,,"This is my second laptop,and it is head and shoulders above my first.",
256,LAPTOP#USABILITY,It has easy to use features and all the speed and power I could ask for.,positive
257,LAPTOP#QUALITY,True quality at a great price!,positive
258,,I have used a computer at work but having your own personal laptop is AWSOME!,
259,LAPTOP#GENERAL,I am enjoying it and the quality it provides is great!,positive
260,COMPANY#GENERAL,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",positive
261,,"This is the first laptop I've owned, althougth I used several at my previous job.",
262,DISPLAY#QUALITY,"The screen graphics and clarity, and sharpness are great.",positive
263,LAPTOP#GENERAL,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,positive
264,LAPTOP#GENERAL,I like the laptop overall.,positive
265,MOUSE#OPERATION_PERFORMANCE,The only thing i can say is that the touch pad doesnt work like it should all the time.,negative
266,MOUSE#OPERATION_PERFORMANCE,Sometimes you really have to tap the pad to get it to work,negative
267,LAPTOP#GENERAL,This is a great little computer for the price.,positive
268,LAPTOP#USABILITY,"Simple to use, and great graphics.",positive
269,LAPTOP#MISCELLANEOUS,It has everything I would need for a home computer.,positive
270,LAPTOP#GENERAL,I'm very impressed.,positive
271,LAPTOP#QUALITY,It was secure and easy to navigate.,positive
272,LAPTOP#GENERAL,It is everything that I would want in a computer.,positive
273,LAPTOP#DESIGN_FEATURES,"Besides the great look, it is a great machine.",positive
274,,I would definitely not go back to using a PC after using the mac.,
275,COMPANY#GENERAL,Once again apple stands alone at the top of the charts.,positive
276,LAPTOP#GENERAL,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",positive
277,LAPTOP#USABILITY,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",positive
278,LAPTOP#CONNECTIVITY,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",positive
279,LAPTOP#DESIGN_FEATURES,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",positive
280,LAPTOP#GENERAL,I am very pleased with my purchase!,positive
281,LAPTOP#GENERAL,This laptop serves all my needs.,positive
282,DISPLAY#DESIGN_FEATURES,Screen size is perfect for portable use in any environment.,positive
283,LAPTOP#PRICE,Price and purpose is awesome!,positive
284,LAPTOP#OPERATION_PERFORMANCE,I have been very pleased with the performance of this laptop.,positive
285,BATTERY#OPERATION_PERFORMANCE,"The battery life seems to be very good, and have had no issues with it.",positive
286,LAPTOP#GENERAL,Great product.,positive
287,LAPTOP#USABILITY,The laptop was very easy to set up.,positive
288,,I did not have to call the support line at all.,
289,LAPTOP#USABILITY,Everything was so easy.,positive
290,,I purchased two laptops (for my husband and 16 year old daughter).,
291,,"My husband uses it mostly for games, email and music.",
292,,"My daughter uses it for games, email, facebook, pictures and music.",
293,LAPTOP#USABILITY,They were able to set-up with labtops themselves within a few minutes.,positive
294,LAPTOP#CONNECTIVITY,It works fine with our wireless and they've had not problems.,positive
295,LAPTOP#GENERAL,It's a great product for a great price!,positive
296,LAPTOP#GENERAL,"Waited on getting this computer, but it has been a great change.",positive
297,LAPTOP#USABILITY,Ease of use is just one of the benefits I love about my Mac.,positive
298,,Purchased as a gift for a friend.,
299,SUPPORT#QUALITY,The service I received from Toshiba went above and beyond the call of duty.,positive
300,LAPTOP#OPERATION_PERFORMANCE,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",positive
301,LAPTOP#PORTABILITY,It is extremely portable and easily connects to WIFI at the library and elsewhere.,positive
302,LAPTOP#GENERAL,Just what the doctor ordered.,positive
303,,2nd Mac book I have purchased from MacConnection.,
304,SUPPORT#QUALITY,I cannot be happier with the service or product.,positive
305,POWER_SUPPLY#QUALITY,power supply went bad after 2 weeks --,negative
306,SUPPORT#QUALITY,after much effort and 10 days ASUS replaced it,negative
307,LAPTOP#CONNECTIVITY,The WiFi is very weak.,negative
308,,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",
309,LAPTOP#GENERAL,Summary: Spend your money elsewhere,negative
310,LAPTOP#DESIGN_FEATURES,This is a nicely sized laptop with lots of processing power and long battery life.,positive
311,LAPTOP#GENERAL,Love it so far.,positive
312,LAPTOP#OPERATION_PERFORMANCE,The Toshiba Net book operates very well.,positive
313,OS#MISCELLANEOUS,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,negative
314,LAPTOP#GENERAL,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",positive
315,MOUSE#OPERATION_PERFORMANCE,"The touchpad is extremely sensitive, which is the only drawback.",negative
316,LAPTOP#GENERAL,"Otherwise, I love it!",positive
317,,I shopped around before buying.,
318,LAPTOP#PRICE,I wasn't really sure I wanted to spend that kind of money!,negative
319,LAPTOP#GENERAL,It Was a great deal after all.,positive
320,LAPTOP#GENERAL,I LOVE it!,positive
321,LAPTOP#GENERAL,I should have bought one a long time ago.,positive
322,LAPTOP#GENERAL,Not enough time for me to give it 5 stars!,neutral
323,LAPTOP#GENERAL,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",positive
324,OS#USABILITY,I have only had PCs with Windows before so this takes a little getting use to.,neutral
325,KEYBOARD#QUALITY,The real stand out on this computer is the feel of the keyboard and it's speed.,positive
326,LAPTOP#OPERATION_PERFORMANCE,"It is fast booting up , shutting down, and connection with the internet.",positive
327,LAPTOP#MISCELLANEOUS,The one thing I wish it had was a detailed hardcopy manuel.,negative
328,LAPTOP#MISCELLANEOUS,"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",neutral
329,LAPTOP#MISCELLANEOUS,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",positive
330,LAPTOP#PRICE,It's priced very reasonable and works very well right out of the box.,positive
331,,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",
332,,(I found a 2GB stick for a bit under $50),
333,LAPTOP#GENERAL,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.",positive
334,,My ONLY issues are:,
335,DISPLAY#QUALITY,the screen/video resolution won't increase to a higher resolution then 1024 x 60,negative
336,DISPLAY#OPERATION_PERFORMANCE,"That being said, it still runs video in full screen decently.",neutral
337,MULTIMEDIA_DEVICES#QUALITY,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",neutral
338,LAPTOP#GENERAL,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",positive
339,,"Okay, let's just start out by saying I am in no way a computer techy.",
340,,"I am a wife, mom and a school teacher and a college student.",
341,,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",
342,,I work on a PC at home and have used Pc all through college.,
343,,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",
344,,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.,
345,,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,
346,,My brother is a computer wiz and would laugh at me because he used an Apple.,
347,,"Finally, I couldn't take it anymore and ordered my Apple.",
348,LAPTOP#PRICE,"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",neutral
349,LAPTOP#GENERAL,"I love my Apple, it is quick and easy to use.",positive
350,SUPPORT#QUALITY,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",positive
