,aspect,document,sentiment
28,FOOD#QUALITY,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,positive
29,,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",
30,AMBIENCE#GENERAL,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",negative
31,,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,
32,,What's the difference between the two?,
33,DRINKS#STYLE_OPTIONS,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",positive
34,FOOD#QUALITY,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",positive
35,SERVICE#GENERAL,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,positive
36,RESTAURANT#GENERAL,we love th pink pony.,positive
37,RESTAURANT#GENERAL,THe perfect spot.,positive
38,FOOD#QUALITY,Food-awesome.,positive
39,SERVICE#GENERAL,Service- friendly and attentive.,positive
40,AMBIENCE#GENERAL,Ambiance- relaxed and stylish.,positive
41,RESTAURANT#GENERAL,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",positive
42,,"i have eaten here a handful of times, for no reason besides sheer convenience.",
43,,"(i hang out, and live, in the neighborhood..)",
44,FOOD#QUALITY,the food is decent.,neutral
45,SERVICE#GENERAL,"however, it's the service that leaves a bad taste in my mouth.",negative
46,SERVICE#GENERAL,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",negative
47,SERVICE#GENERAL,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",negative
48,RESTAURANT#GENERAL,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience.",negative
49,RESTAURANT#MISCELLANEOUS,the last time i walked by it looked pretty empty. hmmm.,negative
50,RESTAURANT#GENERAL,This place has got to be the best japanese restaurant in the new york area.,positive
51,RESTAURANT#GENERAL,I had a great experience.,positive
52,FOOD#QUALITY,Food is great.,positive
53,SERVICE#GENERAL,Service is top notch.,positive
54,RESTAURANT#GENERAL,I have been going back again and again.,positive
55,FOOD#QUALITY,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",positive
56,FOOD#QUALITY,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",positive
57,FOOD#QUALITY,The sushi seemed pretty fresh and was adequately proportioned.,positive
58,FOOD#STYLE_OPTIONS,The rice to fish ration was also good--they didn't try to overpack the rice.,positive
59,FOOD#QUALITY,We took advanatage of the half price sushi deal on saturday so it was well worth it.,positive
60,,I went to this restaurant with a woman that I met recently.,
61,,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,
62,RESTAURANT#MISCELLANEOUS,Surprisingly nothing could be further from the truth.,positive
63,RESTAURANT#MISCELLANEOUS,"In the evening, this place attracted a well dressed, with it, NY crowd.",positive
64,FOOD#QUALITY,The food was well prepared and the service impecable.,positive
65,RESTAURANT#GENERAL,I'm going back.,positive
66,,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",
67,AMBIENCE#GENERAL,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,positive
68,,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",
69,FOOD#QUALITY,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,positive
70,RESTAURANT#GENERAL,I will be going back and heartily recommend it!,positive
71,,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",
72,FOOD#QUALITY,"It is terrific, as is the value.",positive
73,FOOD#STYLE_OPTIONS,"$6 and there is much tasty food, all of it fresh and continually refilled.",positive
74,FOOD#QUALITY,"I am not a vegetarian but, almost all the dishes were great.",positive
75,,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",
76,RESTAURANT#GENERAL,Go hungry and enjoy.,positive
77,FOOD#QUALITY,"The food here is rather good, but only if you like to wait for it.",positive
78,FOOD#QUALITY,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",positive
79,SERVICE#GENERAL,"The service varys from day to day- sometimes they're very nice, and sometimes not.",negative
80,SERVICE#GENERAL,"The kitchen however, is almost always slow.",negative
81,FOOD#QUALITY,"Also, specify if you like your food spicy- its rather bland if you don't.",negative
82,AMBIENCE#GENERAL,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",positive
83,,Just went here for my girlfriends 23rd bday.,
84,LOCATION#GENERAL,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,positive
85,SERVICE#GENERAL,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,positive
86,FOOD#QUALITY,The lava cake dessert was incredible and I recommend it.,positive
87,AMBIENCE#GENERAL,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",positive
88,AMBIENCE#GENERAL,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",positive
89,FOOD#QUALITY,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",positive
90,AMBIENCE#GENERAL,"However, go for the ambience, and consider the food just a companion for a trip across the world!",positive
91,,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",
92,RESTAURANT#GENERAL,IT WAS HORRIBLE.,negative
93,FOOD#QUALITY,The pizza was delivered cold and the cheese wasn't even fully melted!,negative
94,FOOD#QUALITY,It looked like shredded cheese partly done - still in strips.,negative
95,,I have eaten at many pizza places around NYC and this is hands down the worst.,
96,RESTAURANT#GENERAL,This has got to be one of the most overrated restaurants in Brooklyn.,negative
97,FOOD#QUALITY,The pizza is overpriced and soggy.,negative
98,FOOD#QUALITY,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",positive
99,RESTAURANT#GENERAL,"A big disappointment, all around.",negative
100,FOOD#QUALITY,I think I've had some the best meals of my life at minnow.,positive
101,FOOD#QUALITY,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",positive
102,FOOD#QUALITY,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,positive
103,RESTAURANT#GENERAL,Worth the trip from Manhattan.,positive
104,,Was there Friday night.,
105,FOOD#QUALITY,Best Pastrami I ever had and great portion without being ridiculous.,positive
106,,And I've been to many NYC delis.,
107,FOOD#STYLE_OPTIONS,My wife had the fried shrimp which are huge and loved it.,positive
108,,Price no more than a Jersey deli but way better.,
109,RESTAURANT#GENERAL,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",positive
110,RESTAURANT#MISCELLANEOUS,This place is the most Japanese it can ever get.,positive
111,RESTAURANT#MISCELLANEOUS,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",positive
112,RESTAURANT#GENERAL,This place is worth an one-hour drive.,positive
113,RESTAURANT#GENERAL,"I am so coming back here again, as much as I can.",positive
114,RESTAURANT#GENERAL,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",positive
115,SERVICE#GENERAL,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",positive
116,,Sit outside in the warm weather; inside for cozy winter.,
117,DRINKS#QUALITY,Decent wine at reasonable prices.,neutral
118,RESTAURANT#GENERAL,Have been dozens of times and never failed to enjoy the experience.,positive
119,RESTAURANT#GENERAL,"Our teenage kids love it, too.",positive
120,RESTAURANT#GENERAL,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",positive
121,RESTAURANT#GENERAL,This is by far my favorite place in the neighborhood.,positive
122,SERVICE#GENERAL,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",positive
123,,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",
124,RESTAURANT#GENERAL,I'm partial to the Gnocchi.,positive
125,AMBIENCE#GENERAL,This place is incredibly tiny.,negative
126,SERVICE#GENERAL,They refuse to seat parties of 3 or more on weekends.,negative
127,SERVICE#GENERAL,The hostess is rude to the point of being offensive.,negative
128,FOOD#QUALITY,The food was bland oily.,negative
129,RESTAURANT#GENERAL,I just don't understand all the hype...,negative
130,,We went to Ino for Valentines.,
131,FOOD#QUALITY,"We have been to this place many times, and always have great food, wine, and service.",positive
132,SERVICE#GENERAL,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",positive
133,DRINKS#QUALITY,As always we had a great glass of wine while we waited.,positive
134,SERVICE#GENERAL,"When we sat, we got great and fast service.",positive
135,SERVICE#GENERAL,The people that work there are always so friendly you forget you are in New York sometimes.,positive
136,RESTAURANT#GENERAL,Make sure you try this place as often as you can.,positive
137,RESTAURANT#GENERAL,This is a fun restaurant to go to.,positive
138,FOOD#QUALITY,The pizza is yummy and I like the atmoshpere.,positive
139,FOOD#PRICES,But the pizza is way to expensive.,negative
140,,"A large is $20, and toppings are about $3 each.",
141,FOOD#QUALITY,I went there for lunch and it was not as good as I expected from the reviews I read.,negative
142,FOOD#QUALITY,Sauce was watery and the food didn't have much flavor.,negative
143,,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",
144,RESTAURANT#GENERAL,I don't think I would go again.,negative
145,RESTAURANT#GENERAL,This place is great.,positive
146,SERVICE#GENERAL,I had a huge group for my birthday and we were well taken care of.,positive
147,SERVICE#GENERAL,The waitress was very patient with us and the food is phenomenal!,positive
148,SERVICE#GENERAL,"Service was prompt, friendly and great.",positive
149,RESTAURANT#PRICES,Slightly on the pricey side but worth it!,negative
150,FOOD#QUALITY,Great pizza and fantastic service.,positive
151,SERVICE#GENERAL,"There was a small wait, but shorter than I expected.",positive
152,LOCATION#GENERAL,Located at the end of a magnificent block.,positive
153,AMBIENCE#GENERAL,Very cozy and warm inside.....,positive
154,RESTAURANT#GENERAL,I will be back!,positive
155,FOOD#QUALITY,This is the best sushi in new york city - hands down.,positive
156,AMBIENCE#GENERAL,The place is small and cramped but the food is fantastic.,negative
157,FOOD#QUALITY,Get the tuna of gari.,positive
158,,The one on the east side is much better than the one on the west side.,
159,FOOD#QUALITY,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",positive
160,FOOD#STYLE_OPTIONS,"With the great variety on the menu , I eat here often and never get bored .",positive
161,AMBIENCE#GENERAL,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",negative
162,FOOD#QUALITY,It's all about the food !!,positive
163,,I went there with my friend last saturday.,
164,RESTAURANT#MISCELLANEOUS,first it took us a long time to find the place.,negative
165,,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",
166,FOOD#STYLE_OPTIONS,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",negative
167,,then we ordered a dinosaur rolls and white tuna sashimi.,
168,FOOD#STYLE_OPTIONS,"those rolls were big, but not good and sashimi wasn't fresh.",neutral
169,FOOD#QUALITY,"they were dry and disgusting, i didn't even finish my first piece.",negative
170,SERVICE#GENERAL,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,positive
171,FOOD#QUALITY,"Try the crunchy tuna, it is to die for.",positive
172,FOOD#QUALITY,"Try everything for that matter, it is all good.",positive
173,RESTAURANT#GENERAL,I have been going there since it opened and I can't get enough.,positive
174,AMBIENCE#GENERAL,First went here to enjoy their garden terrace.,positive
175,FOOD#QUALITY,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",positive
176,FOOD#STYLE_OPTIONS,"The Steak Tartare is a great bet, they fix it for you at the table.",positive
177,AMBIENCE#GENERAL,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",positive
178,DRINKS#STYLE_OPTIONS,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",positive
179,AMBIENCE#GENERAL,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",neutral
180,RESTAURANT#MISCELLANEOUS,"Have recommended the place to friends, always gets good response.",positive
181,FOOD#QUALITY,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",positive
182,,Veal Parmigana - Better than Patsy's!,
183,,Much more reasonably priced too!,
184,RESTAURANT#MISCELLANEOUS,I take all my NYC guests to VT's.,positive
185,LOCATION#GENERAL,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",positive
186,RESTAURANT#GENERAL,I've been there three times and have always had wonderful experiences.,positive
187,AMBIENCE#GENERAL,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,positive
188,RESTAURANT#GENERAL,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,positive
189,SERVICE#GENERAL,Even after they overcharged me the last time I was there.,negative
190,FOOD#QUALITY,Make sure you have the Spicy Scallop roll.. .,positive
191,FOOD#QUALITY,it's delicious!,positive
192,FOOD#QUALITY,"Moules were excellent, lobster ravioli was VERY salty!",positive
193,SERVICE#GENERAL,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",negative
194,SERVICE#GENERAL,"Told us to sit anywhere, and when we sat he said the table was reserved.",negative
195,SERVICE#GENERAL,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,negative
196,FOOD#QUALITY,Tiny dessert was $8.00...just plain overpriced for what it is.,negative
197,DRINKS#QUALITY,The drinks are always welll made and wine selection is fairly priced.,positive
198,FOOD#QUALITY,Try their chef's specials-- they are to die for.,positive
199,SERVICE#GENERAL,"Service is not exactly five star, but thats not really a big deal.",neutral
200,AMBIENCE#GENERAL,Downstairs lounge is always a good attraction,positive
201,AMBIENCE#GENERAL,"Raga's is a romantic, cozy restaurant.",positive
202,FOOD#STYLE_OPTIONS,The exotic food is beautifully presented and is a delight in delicious combinations.,positive
203,FOOD#PRICES,It is also extremely well priced.,positive
204,SERVICE#GENERAL,The staff is incredibly helpful and attentive.,positive
205,DRINKS#STYLE_OPTIONS,The bar is very well stocked with interesting beers and well priced wines.,positive
206,RESTAURANT#GENERAL,This is one of my favorite restaurants and it is not to be missed.,positive
207,RESTAURANT#GENERAL,Your friends will thank you for introducing them to this gem!,positive
208,RESTAURANT#GENERAL,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",negative
209,SERVICE#GENERAL,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",negative
210,SERVICE#GENERAL,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",negative
211,SERVICE#GENERAL,Such a disappointment...,negative
212,SERVICE#GENERAL,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",negative
213,RESTAURANT#GENERAL,I had a grat time at Jekyll and Hyde!,positive
214,RESTAURANT#GENERAL,I loved everythig about it-especially the shows and actors.,positive
215,SERVICE#GENERAL,Our server was very helpful and friendly.,positive
216,RESTAURANT#MISCELLANEOUS,I am bringing my whole family back next time.,positive
217,FOOD#QUALITY,The food was good too.,positive
218,FOOD#QUALITY,The tuna and wasabe potatoes are excellent.,positive
219,LOCATION#GENERAL,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,positive
220,AMBIENCE#GENERAL,"Inside is a little cramped, but to be expected.",neutral
221,SERVICE#GENERAL,Service was prompt and courteous.,positive
222,RESTAURANT#GENERAL,This was a repeat visit and we'll definitely be back again.,positive
223,SERVICE#GENERAL,"Great service, great food.",positive
224,RESTAURANT#PRICES,Prices are in line.,neutral
225,,"Compared to other shabu restaurants around town, this places wins hands-down.",
226,LOCATION#GENERAL,But too far east!,negative
227,,I live a block away and go to Patsy's frequently.,
228,FOOD#QUALITY,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",positive
229,FOOD#STYLE_OPTIONS,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",negative
230,FOOD#QUALITY,"Also, because it is so thin, it gets cold very quickly and its not that filling.",negative
231,,So eat fast and order a lot.,
232,SERVICE#GENERAL,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,negative
233,FOOD#QUALITY,By far the best salad I have had in a fast food restaurant.,positive
234,FOOD#QUALITY,fine dining restaurant quality.,positive
235,FOOD#STYLE_OPTIONS,Over 100 different choices to create your own.,positive
236,RESTAURANT#GENERAL,A must try!,positive
237,RESTAURANT#GENERAL,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",positive
238,FOOD#QUALITY,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",positive
239,FOOD#QUALITY,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",positive
240,RESTAURANT#GENERAL,"With so many poor experiences to be had in the theater district, is truly an excellent find!",positive
241,RESTAURANT#GENERAL,We will return many times for this oasis in mid-town.,positive
242,,I grew up on these bagels.,
243,SERVICE#GENERAL,The staff is no nonsense.,positive
244,FOOD#STYLE_OPTIONS,The food options rule.,positive
245,FOOD#QUALITY,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,positive
246,RESTAURANT#MISCELLANEOUS,Worth visiting the 1st Ave spot because it is the original store.,positive
247,,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A.,
248,,"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",
249,,I asked the chef what he recommends and he asked me if I like Uni. (,
250,,"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.)",
251,FOOD#QUALITY,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",positive
252,,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",
253,DRINKS#STYLE_OPTIONS,The sake menu should not be overlooked!,positive
254,RESTAURANT#GENERAL,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",positive
255,FOOD#QUALITY,Try the lobster teriyaki and the rose special roll.,positive
256,,We visited Orsay during NY Restaurant Week and tried their $35 menu.,
257,SERVICE#GENERAL,"Service was very good - prompt, attentive and non-intrusive.",positive
258,FOOD#QUALITY,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",positive
259,DRINKS#STYLE_OPTIONS,Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive
260,AMBIENCE#GENERAL,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,positive
261,RESTAURANT#GENERAL,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",positive
262,SERVICE#GENERAL,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",neutral
263,SERVICE#GENERAL,"Seating is always prompt, though the restaurant does fill up in the evening.",positive
264,FOOD#QUALITY,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",positive
265,SERVICE#GENERAL,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",neutral
266,AMBIENCE#GENERAL,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",positive
267,RESTAURANT#GENERAL,I have NEVER been disappointed in the Red Eye.,positive
268,AMBIENCE#GENERAL,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",positive
269,,I've never ordered anything else from their menu...there's no need to.,
270,FOOD#QUALITY,It's simply the best meal in NYC.,positive
271,RESTAURANT#GENERAL,You cannot go wrong at the Red Eye Grill.,positive
272,RESTAURANT#GENERAL,"If we were to move from the upper east side, we would genuinely miss this restaurant.",positive
273,,We've lived in the area for more than 8 years.,
274,RESTAURANT#GENERAL,The restaurant is cute but not upscale.,neutral
275,FOOD#QUALITY,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,positive
276,RESTAURANT#GENERAL,I would highly recommend it.,positive
277,RESTAURANT#GENERAL,It's one of our favorite places to eat in NY.,positive
278,RESTAURANT#GENERAL,We had a great time at the Jekyll and hyde Pub last night.,positive
279,,We were walking around the village and went into this place just for some drinks.,
280,RESTAURANT#MISCELLANEOUS,After really enjoying ourselves at the bar we sat down at a table and had dinner.,positive
281,SERVICE#GENERAL,The server was really cool and served us our food and drinks with a smile.,positive
282,AMBIENCE#GENERAL,The place's decor and hidden bathrooms made for a good laugh.,positive
283,RESTAURANT#GENERAL,I highly recommend visiting this restaurant and having dinner and drinks!,positive
284,RESTAURANT#MISCELLANEOUS,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",positive
285,RESTAURANT#GENERAL,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",positive
286,DRINKS#STYLE_OPTIONS,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",positive
287,AMBIENCE#GENERAL,The entertainment was great they have shows that go on through out the dinner.,positive
288,RESTAURANT#GENERAL,"Please take my advice, go and try this place.",positive
289,,Its located in greenewich village.,
290,RESTAURANT#GENERAL,You will not be disapointed at all.,positive
291,,Our first time in New York and we had to try a New York Bagel.,
292,RESTAURANT#GENERAL,We were not dissappointed in the least bit by this little gem.,positive
293,FOOD#STYLE_OPTIONS,The bagel was huge.,positive
294,FOOD#QUALITY,They were served warm and had a soft fluffy interior.,positive
295,FOOD#STYLE_OPTIONS,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,negative
296,RESTAURANT#GENERAL,I loved it and would HIGHLY RECOMMEND.,positive
297,FOOD#QUALITY,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,positive
298,,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",
299,FOOD#QUALITY,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,positive
300,FOOD#QUALITY,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",positive
301,FOOD#QUALITY,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",positive
302,SERVICE#GENERAL,All the staff is absolutely professional!!,positive
303,,I sometimes see the waiters don't have enough knowledge of their dishes.,
304,,But they do.,
305,SERVICE#GENERAL,"(that is A MUST, but not every restaurant can do...)",positive
306,,"If you want to dine with large party, I recommend to make reservation BASEMENT.",
307,AMBIENCE#GENERAL,"There's nice and quiet, small but enough for 6 (or more).",positive
308,RESTAURANT#GENERAL,This restaurant was way overhyped.,negative
309,FOOD#QUALITY,My chow fun and chow see was really bland and oily.,negative
310,FOOD#QUALITY,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,negative
311,FOOD#QUALITY,The scallion pancakes and fried dumplings were nothing out of the ordinary.,neutral
312,SERVICE#GENERAL,The service was the only thing good about this restaurant.,positive
313,AMBIENCE#GENERAL,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",negative
314,RESTAURANT#GENERAL,I definitely wouldn't go back.,negative
315,,There are many Thai places in the city but so far Toons is #1.,
316,FOOD#QUALITY,Their pad penang is delicious and everything else is fantastic.,positive
317,RESTAURANT#PRICES,The price is reasonable although the service is poor.,positive
318,RESTAURANT#GENERAL,fresh restaurant was amazing........ food was delicious and of course fresh.,positive
319,AMBIENCE#GENERAL,"great for a romantic evening, or a fun evening with friends...",positive
320,RESTAURANT#GENERAL,I will be going back very soon.,positive
321,RESTAURANT#GENERAL,keep up the good work.,positive
322,FOOD#QUALITY,Hats off to the chef.,positive
323,,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",
324,,He has visited Thailand and is quite expert on the cuisine.,
325,RESTAURANT#GENERAL,It was wonderful.,positive
326,FOOD#QUALITY,"the salads are delicious, both refreshing and very spicy.",positive
327,FOOD#QUALITY,We had Pam's special fried fish and it was amazing.,positive
328,FOOD#STYLE_OPTIONS,too large for just two people but nothing was left.,negative
329,,Unbelievable.,
330,,Had a late night dinner on a Saturday night.,
331,AMBIENCE#GENERAL,"Great vibe, lots of people.",positive
332,,"My husband and I both ordered the Steak, medium.",
333,FOOD#QUALITY,"My husbands was perfect, my was well done and dry.",positive
334,AMBIENCE#GENERAL,"I didn't complain, I liked the atmosphere so much.",positive
335,,Will give it another chance before I write it off.,
336,,Visited there while on vacation and reading the reviews.,
337,RESTAURANT#GENERAL,On a hot day it was fabulous to stop in and enjoy lunch.,positive
338,AMBIENCE#GENERAL,"Ambience is so cute and quaint, good for business although we were there on vacation.",positive
339,FOOD#QUALITY,Salads were fantastic.,positive
340,FOOD#QUALITY,Although we were looking for regular lettuce and some walnuts the salads we got were great.,positive
341,FOOD#QUALITY,Ingredients are organic which is a real plus for me.,positive
342,RESTAURANT#GENERAL,We will be back.,positive
343,FOOD#QUALITY,"This is some really good, inexpensive sushi.",positive
344,,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",
345,FOOD#STYLE_OPTIONS,The spicy Tuna roll is huge and probably the best that I've had at this price range.,positive
346,FOOD#QUALITY,The Yellowtail was particularly good as well.,positive
