,aspect,document,sentiment
67,,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",
68,,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,
69,,Worth the trip from Manhattan.,
70,,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",
71,,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",
72,,Sit outside in the warm weather; inside for cozy winter.,
73,,Decent wine at reasonable prices.,
74,,Have been dozens of times and never failed to enjoy the experience.,
75,,"Our teenage kids love it, too.",
76,,This place is incredibly tiny.,
77,,They refuse to seat parties of 3 or more on weekends.,
78,,The hostess is rude to the point of being offensive.,
79,,The food was bland oily.,
80,,I just don't understand all the hype...,
81,,We went to Ino for Valentines.,
82,,"We have been to this place many times, and always have great food, wine, and service.",
83,,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",
84,,As always we had a great glass of wine while we waited.,
85,,"When we sat, we got great and fast service.",
86,,The people that work there are always so friendly you forget you are in New York sometimes.,
87,,Make sure you try this place as often as you can.,
88,,This is a fun restaurant to go to.,
89,,The pizza is yummy and I like the atmoshpere.,
90,,But the pizza is way to expensive.,
91,,"A large is $20, and toppings are about $3 each.",
92,,This place is great.,
93,,I had a huge group for my birthday and we were well taken care of.,
94,,The waitress was very patient with us and the food is phenomenal!,
95,,"Service was prompt, friendly and great.",
96,,Slightly on the pricey side but worth it!,
97,,Great pizza and fantastic service.,
98,,"There was a small wait, but shorter than I expected.",
99,,Located at the end of a magnificent block.,
100,,Very cozy and warm inside.....,
101,,I will be back!,
102,,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",
103,,"With the great variety on the menu , I eat here often and never get bored .",
104,,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",
105,,It's all about the food !!,
106,,I went there with my friend last saturday.,
107,,first it took us a long time to find the place.,
108,,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",
109,,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",
110,,then we ordered a dinosaur rolls and white tuna sashimi.,
111,,"those rolls were big, but not good and sashimi wasn't fresh.",
112,,"they were dry and disgusting, i didn't even finish my first piece.",
113,,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,
114,,"Try the crunchy tuna, it is to die for.",
115,,"Try everything for that matter, it is all good.",
116,,I have been going there since it opened and I can't get enough.,
117,,First went here to enjoy their garden terrace.,
118,,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",
119,,"The Steak Tartare is a great bet, they fix it for you at the table.",
120,,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",
121,,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",
122,,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",
123,,"Have recommended the place to friends, always gets good response.",
124,,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",
125,,I've been there three times and have always had wonderful experiences.,
126,,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,
127,,"Moules were excellent, lobster ravioli was VERY salty!",
128,,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",
129,,"Told us to sit anywhere, and when we sat he said the table was reserved.",
130,,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,
131,,Tiny dessert was $8.00...just plain overpriced for what it is.,
132,,The drinks are always welll made and wine selection is fairly priced.,
133,,Try their chef's specials-- they are to die for.,
134,,"Service is not exactly five star, but thats not really a big deal.",
135,,Downstairs lounge is always a good attraction,
136,,"Raga's is a romantic, cozy restaurant.",
137,,The exotic food is beautifully presented and is a delight in delicious combinations.,
138,,It is also extremely well priced.,
139,,The staff is incredibly helpful and attentive.,
140,,The bar is very well stocked with interesting beers and well priced wines.,
141,,This is one of my favorite restaurants and it is not to be missed.,
142,,Your friends will thank you for introducing them to this gem!,
143,,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",
144,,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",
145,,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",
146,,Such a disappointment...,
147,,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",
148,,I had a grat time at Jekyll and Hyde!,
149,,I loved everythig about it-especially the shows and actors.,
150,,Our server was very helpful and friendly.,
151,,I am bringing my whole family back next time.,
152,,The food was good too.,
153,,The tuna and wasabe potatoes are excellent.,
154,,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,
155,,"Inside is a little cramped, but to be expected.",
156,,Service was prompt and courteous.,
157,,This was a repeat visit and we'll definitely be back again.,
158,,By far the best salad I have had in a fast food restaurant.,
159,,fine dining restaurant quality.,
160,,Over 100 different choices to create your own.,
161,,A must try!,
162,,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",
163,,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",
164,,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",
165,,"With so many poor experiences to be had in the theater district, is truly an excellent find!",
166,,We will return many times for this oasis in mid-town.,
167,,I grew up on these bagels.,
168,,The staff is no nonsense.,
169,,The food options rule.,
170,,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,
171,,Worth visiting the 1st Ave spot because it is the original store.,
172,,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A.,
173,,"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",
174,,I asked the chef what he recommends and he asked me if I like Uni. (,
175,,"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.)",
176,,"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",
177,,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",
178,,The sake menu should not be overlooked!,
179,,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",
180,,Try the lobster teriyaki and the rose special roll.,
181,,We visited Orsay during NY Restaurant Week and tried their $35 menu.,
182,,"Service was very good - prompt, attentive and non-intrusive.",
183,,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",
184,,Wine list selection is good and wine-by-the-glass was generously filled to the top.,
185,,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,
186,,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",
187,,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",
188,,"Seating is always prompt, though the restaurant does fill up in the evening.",
189,,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",
190,,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",
191,,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",
192,,I have NEVER been disappointed in the Red Eye.,
193,,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",
194,,I've never ordered anything else from their menu...there's no need to.,
195,,It's simply the best meal in NYC.,
196,,You cannot go wrong at the Red Eye Grill.,
197,,"If we were to move from the upper east side, we would genuinely miss this restaurant.",
198,,We've lived in the area for more than 8 years.,
199,,The restaurant is cute but not upscale.,
200,,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,
201,,I would highly recommend it.,
202,,It's one of our favorite places to eat in NY.,
203,,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",
204,,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",
205,,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",
206,,The entertainment was great they have shows that go on through out the dinner.,
207,,"Please take my advice, go and try this place.",
208,,Its located in greenewich village.,
209,,You will not be disapointed at all.,
210,,Our first time in New York and we had to try a New York Bagel.,
211,,We were not dissappointed in the least bit by this little gem.,
212,,The bagel was huge.,
213,,They were served warm and had a soft fluffy interior.,
214,,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,
215,,I loved it and would HIGHLY RECOMMEND.,
216,,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,
217,,"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",
218,,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,
219,,"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",
220,,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",
221,,All the staff is absolutely professional!!,
222,,I sometimes see the waiters don't have enough knowledge of their dishes.,
223,,But they do.,
224,,"(that is A MUST, but not every restaurant can do...)",
225,,"If you want to dine with large party, I recommend to make reservation BASEMENT.",
226,,"There's nice and quiet, small but enough for 6 (or more).",
227,,This restaurant was way overhyped.,
228,,My chow fun and chow see was really bland and oily.,
229,,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,
230,,The scallion pancakes and fried dumplings were nothing out of the ordinary.,
231,,The service was the only thing good about this restaurant.,
232,,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",
233,,I definitely wouldn't go back.,
234,,fresh restaurant was amazing........ food was delicious and of course fresh.,
235,,"great for a romantic evening, or a fun evening with friends...",
236,,I will be going back very soon.,
237,,keep up the good work.,
238,,Hats off to the chef.,
239,,Had a late night dinner on a Saturday night.,
240,,"Great vibe, lots of people.",
241,,"My husband and I both ordered the Steak, medium.",
242,,"My husbands was perfect, my was well done and dry.",
243,,"I didn't complain, I liked the atmosphere so much.",
244,,Will give it another chance before I write it off.,
245,,Visited there while on vacation and reading the reviews.,
246,,On a hot day it was fabulous to stop in and enjoy lunch.,
247,,"Ambience is so cute and quaint, good for business although we were there on vacation.",
248,,Salads were fantastic.,
249,,Although we were looking for regular lettuce and some walnuts the salads we got were great.,
250,,Ingredients are organic which is a real plus for me.,
251,,We will be back.,
252,,Went here on a friend's reccomendation.,
253,,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,
254,,We both opted for a pasta dish and they were served timely and fresh.,
255,,"We concluded with tiramisu chocolate cake, both were delicious.",
256,,We'd go back again,
257,,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,
258,,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",
259,,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,
260,,"Yes, the prices are high, but I felt it was worth it.",
261,,We all felt it was worth it.,
262,,sometimes i get good food and ok service.,
263,,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",
264,,it is not consistent.,
265,,really depends on your luck!,
266,,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,
267,,And where does Patis go wrong; no where.,
268,,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",
269,,And evaluated on those terms Pastis is simply wonderful.,
270,,Right off the L in Brooklyn this is a nice cozy place with good pizza.,
271,,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,
272,,My friend got the mushroom pizza which tasted better.,
273,,The sangria was pretty tasty and good on a hot muggy day.,
274,,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,
275,,Overall I would recommend it and go back again.,
276,,Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),
277,,I started out with a Bombay beer which was big enough for two.,
278,,For dinner I had the chicken tikka-masala and some garlic naan.,
279,,MMmmm... it was delicious.,
280,,"Service was slow, but the people were friendly.",
281,,It's a nice place to relax and have conversation.,
282,,I can't wait to go back.,
283,,We have lived in Chelsea for two years and have never noticed this restaurant.,
284,,The food is authentic Italian - delicious!,
285,,"Pizza is terrific, as is homemade pasta.",
286,,"Ambience is delightful, service impeccable.",
287,,I'm still mad that i had to pay for lousy food.,
288,,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,
289,,Service was also horrible and the ambience is not that great.,
290,,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,
291,,I absolutely love this place!!!,
292,,"From the street it looks very hidden, and is actually an old warehouse.",
293,,"I like the ambience, it's very dark and original.",
294,,I came here for my friend's birthday and keep coming back ever since.,
295,,The sushi is amazing!!!,
296,,And amazingly cheap.,
297,,Big thumbs up!,
298,,Very affordable and excellent ambient!,
299,,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,
300,,We were very disappointed.,
301,,We won't go to this place again for a good meal.,
302,,"However, I think this place is a good hang out spot.",
303,,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",
304,,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,
305,,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.,
306,,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,
307,,"They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.",
308,,Check this place out!,
309,,HIGHLY RECOMMENDED!!!!!,
310,,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",
311,,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",
312,,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",
313,,Slightly above average wines start at $70+ with only one selection listed at $30+.,
314,,Service is not what one would expect from a joint in this price category.,
315,,"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc....",
316,,Somehow working the italian charm with constant mille grazie does not constitute proper service.,
317,,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",
318,,Myagi is one of my favorite restaurants in the City; the place the negative reviews describe sound like they were somewhere else.,
319,,I've never had bad service and the fish is fresh and delicious.,
320,,Their tuna tartar appetizer is to die for.,
321,,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",
322,,It is simply amazing.,
323,,The place is so cool and the service is prompt and curtious.,
324,,I highly recommend to anyone to give this place a try.,
325,,You will find yourself returning quite often.,
326,,P.S. Please don't tell anyone in my family i eat there.,
327,,LOL,
328,,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,
329,,No gimmicks here -- the food speaks for itself in its freshness and preparation.,
330,,The dining room is quietly elegant with no music to shout over -- how refreshing!,
331,,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",
332,,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",
333,,Beautiful experience.,
334,,The view is breathtaking the service is top notch... the ambiance is wonderfull.,
335,,The staff offers impeccable service.,
336,,I had Lobster Bisque it has 2 oz. of Maine Lobster in it.,
337,,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,
338,,I had Filet Mignon with garlic mash.,
339,,It was divine melts in your mouth.,
340,,My boyfriend had Prime Rib it was good .,
341,,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough.,
342,,We had Lava Cake... we ordered when our food came it takes at least a 1/2 to make it.,
343,,It's cuz it's so good you need to taste it!!!,
344,,All in all we're already coming up with excuses to go ahead really soon in the next few wks!!!!,
345,,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,
346,,If you like spicy food get the chicken vindaloo.,
347,,It's very spicy but not offensive.,
348,,We will definitely go back.,
349,,Go to Volare for 1st class service and terrific food.,
350,,The portions are large and the servers always surprise us with a different starter.,
351,,The wine list is excellent.,
352,,The place is a lot of fun.,
353,,My six year old loved it.,
354,,The characters really make for an enjoyable experience.,
355,,"The food however, is what one might expect.",
356,,It is very overpriced and not very tasty.,
357,,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",
358,,We had a good time.,
359,,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,
360,,Service was slow had to wait to order and get food although not crowded.,
361,,Drinks way over priced.,
362,,Food was good not great not worth the wait or another visit,
363,,Great pizza for lunch place.,
364,,Service was quick.,
365,,The pizza was great.,
366,,And it was quick which is very important.,
367,,Have the iced tea.,
368,,It was wonderful.,
369,,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",
370,,Delivery is fast too.,
371,,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",
372,,A little overpriced but worth it once you take a bite.,
373,,"Growing up in NY, I have eaten my share of bagels.",
374,,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,
375,,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",
376,,They have a huge selection of different cream cheeses and all of their salads are great.,
377,,The lox is always fresh too.,
378,,Highly recommended to all!,
379,,I have to agree with the previous reviewer.,
380,,I don't get it either.,
381,,Not impressed with the food.,
382,,Prices too high for this cramped and unappealing resturant.,
383,,Zero ambiance to boot.,
384,,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,
385,,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,
386,,Thius is a must for anyone who loves Shabu-Shabu.,
387,,"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!",
388,,We weren't!,
389,,The prices were CHEAP compared to the quality of service and food.,
390,,"We liked it so much, that we will always make it a point to dine here when we visit New York.",
391,,Went there for an office lunch.,
392,,The location and ambience is Ok but the food is what makes up for it.,
393,,There is a lot of variety even for people who eat vegetarian like me.,
394,,Try green curry with vegetables.,
395,,"The quantity is also very good, you will come out satisfied.",
396,,"The service is ok, some of the people didn't get what they asked for.",
397,,Molto bene!,
398,,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,
399,,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",
400,,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",
401,,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.",
402,,A guaranteeed delight!,
403,,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",
404,,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",
405,,Check out the secret back room.,
406,,Old school meets New world.,
407,,I pray it stays open forever.,
408,,Thank You Emilio.,
409,,Ciao Bella,
410,,"I found the food, service and value exceptional everytime I have been there.",
411,,The food was authentic.,
412,,I felt as though I were eating in Paris.,
413,,The service was excellent - friendly and attentive.,
414,,The prices are wonderfully low.,
415,,Very good wine choices.,
416,,I can't believe people complain about no cheese sticks?,
417,,Who has room for Cheesesticks with the best pizza in NYC!,
418,,Get the pepperoni - YUM - and a family style salad.,
419,,Great staff.,
420,,Always great service!,
421,,I go twice a month!,
422,,Fantastic!,
423,,"The food is good, I can't lie.",
424,,But the staff was so horrible to us.,
425,,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,
426,,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,
427,,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",
428,,Save yourself the time and trouble and skip this one!,
429,,I'll keep this short.,
430,,Amma is nothing special.,
431,,The two star chefs left quite some time ago to open their own place.,
432,,I ate here a week ago and found most dishes average at best and too expensive.,
433,,Will not be back.,
434,,First of all Dal Bukhara Rocks.,
435,,As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by.,
436,,but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,
437,,I am happy i did the food was awsome.,
438,,JUST AWSOME.,
439,,and yes Dal Bukhara is so dam good and so are all the kababs.,
440,,They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,
441,,but overall i give it a 10,
442,,10,
443,,I haven't been to the other locations.,
444,,Haru on Park S is simply disgusting.,
445,,The fish was not fresh and the rice tasted old and stale.,
446,,"Quite frankly, this is some of the worst sushi I have ever tried.",
447,,Will never be back.,
448,,honestly the worst sushi my husband and i had in our entire lives.,
449,,"believe us, we've been eating sushi for over 15 yrs.",
450,,not sure why this restaurant would be rated that highly.,
451,,the all-u-can-eat sushi is definitely in very poor quality.,
452,,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",
453,,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish.",
454,,the waitstaffs are nice though.,
455,,wont come back again for sure!,
456,,I have been to Roth's twice and both times were very disappointing.,
457,,Once for dinner and once for brunch.,
458,,"Both times I was extremely dissappointed by the service, which was boarderline rude.",
459,,They wouldnt even let me finish my glass of wine before offering another.,
460,,Much of the time it seems like they do not care about you.,
461,,"The dinner was ok, nothing I would have again.",
462,,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",
463,,This was a great surprise.,
464,,With the theater 2 blocks away we had a delicious meal in a beautiful room.,
465,,The service was attentive.,
466,,I look forward to eating here again,
467,,Went to Village last night for my birthday.,
468,,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",
469,,We were very pleasantly surprised.,
470,,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",
471,,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",
472,,Truly the mark of an attentive waiter.,
473,,I highly recommend the restaurant based on our experience last night.,
474,,We ate at this Thai place following the reviews but very unhappy with the foods.,
475,,We thought that this place is using too much of MSG cooking in the foods.,
476,,Why?,
477,,"They don't concern much of customer's health, just want to make money.",
478,,please don't fool us.,
479,,Have frequented 'ino for several years and the food remains excellent.,
480,,Cheese plate is a varied delight and great bargain at $10.,
481,,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",
482,,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)",
483,,Wine list is extensive without being over-priced.,
484,,"Be sure to try the seasonal, and always delicious, specials.",
485,,Definitely a neighborhood favorite.,
486,,I loved this place!!,
487,,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,
488,,"The food was very good, a great deal, and the place its self was great.",
489,,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",
490,,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",
491,,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",
492,,"The waitress, seems to be more concerned of looking good than actually waitressing.",
493,,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.",
494,,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",
495,,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",
496,,Pizza here is consistently good.,
497,,Salads are a delicious way to begin the meal.,
498,,You should pass on the calamari.,
499,,It is thick and slightly soggy.,
500,,Decor is charming.,
501,,Service is average.,
502,,What a great place.,
503,,I came into the city to try out this restaurant because a friend had recommended it to my husband.,
504,,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",
505,,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",
506,,I would definitely recommend SEA if you like thai cuisine!,
507,,I absolutely Loved this place.,
508,,"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",
509,,"Excellent atmosphere, delicious dishes good and friendly service.",
510,,this is can became on e of the NY Italian Food fare institutions.,
511,,I think that it is absolutely brilliant and well runned business operation.,
512,,The wine list is also really nice.,
513,,A friend from Seattle and I went on a Thursday night around 8:30.,
