,aspect,document,sentiment
163,,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",
164,,Oh my goodness-I am not a happy camper.,
165,,My HP is very heavy.,
166,,Not easy to carry.,
167,,The battery has never worked well.,
168,,The battery gets so HOT it is scary.,
169,,"Yet, HP won't do anything about the problem.",
170,,I returned the computer to HP and they kept it for 3 months.,
171,,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,
172,,"So, you can imagine how unhappy I am with this item.",
173,,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,
174,,I did contact HP and share how unhappy I am.,
175,,"Well, they don't care a bunch.",
176,,"But, at the same time they (the company) would not and could not do anything about my problem.",
177,,I would  say if you want to buy one of these machines be careful.,
178,,"And, if you are going to deal with HP be careful.",
179,,"In my house, HP is a nasty word.",
180,,I Love my new computer!,
181,,Its fast and another thing I like is that it has three USB ports.,
182,,I love to write and play with graphics and html programming and my new Toshiba works great on both!,
183,,Thank you for your great product!,
184,,Everything about this computer is easy to use.,
185,,wonderful features.,
186,,The only thing is that the battery won't last more than 1/2 an hour.,
187,,It discharges too quickly.,
188,,"Kind of annoying, but I still love the laptop.",
189,,I bought my macbook a few months ago and it has been my baby ever since.,
190,,I love it so much.,
191,,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",
192,,"The best thing is even while doing almost ten or twenty things at once, it never slows down.",
193,,It's just as fast with one program open as it is with sixteen open.,
194,,It works exactly like it did the day I took it out of the box.,
195,,GREAT INVESTMENT!,
196,,"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.",
197,,"got another 1, and same issue.",
198,,I am taking back today.,
199,,Don't waste your money or time.,
200,,"Very dissappointed becase I have had toshibas for years, and never a issue.",
201,,Needs constant repair.,
202,,First the screen goes completely out.,
203,,"Then HP sends it back to me with the hardware screwed up, not able to connect.",
204,,"Now the screen is going darker, darker, darker.",
205,,HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,
206,,"Oh yeah, don't forget the expensive shipping to and from HP.",
207,,I'v spent as much for shipping as I would to buy a new netbook -- of course a different brand.,
208,,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,
209,,I have owned it only two months!,
210,,I have had nothing but problems since the day I took it out of the box!,
211,,My first problem was with the pre-loaded Norton Firewall/Security program.,
212,,It would not let me connect to my Wifi system where I lived.,
213,,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,
214,,"Then just the other day, my left ""mouse"" button snapped!",
215,,"Being only 2 months old, I am not a happy camper!",
216,,Buyer Beware.,
217,,"this one, in my opinion, might be a lemon!",
218,,Like the price and operation.,
219,,"Some features arent friendly ( volume wheel, sound quality, etc.",
220,,"But, for the cost this is a winner.",
221,,"Great Laptop for the price, works well with action pack games.",
222,,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",
223,,but other then that I would give this product a 4 in hafe stars.,
224,,I was surprised with the performance and quality of this HP Laptop.,
225,,the speed is fine.,
226,,Laptop is to be used like a Netbook.,
227,,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",
228,,Love it.,
229,,I am not happy at all with the product I purchased.,
230,,"A cheaper price should not equal a ""cheap"" product.",
231,,It was over rated!,
232,,I have used a computer at work but having your own personal laptop is AWSOME!,
233,,I am enjoying it and the quality it provides is great!,
234,,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!",
235,,This is a great little computer for the price.,
236,,"Simple to use, and great graphics.",
237,,It has everything I would need for a home computer.,
238,,I'm very impressed.,
239,,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",
240,,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",
241,,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",
242,,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",
243,,I am very pleased with my purchase!,
244,,A good value on a quality product.,
245,,"Easy setup, and delivers all the functions we need.",
246,,The hdd has a scratching noise.,
247,,The system sometimes lags a lot.,
248,,great battery life.,
249,,Keyboard is reasonable size.,
250,,Small screen somewhat limiting but great for travel.,
251,,Charger seems large for this class of computer.,
252,,"Needs longer lasting battery, More than 1 to 2 Hrs.",
253,,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",
254,,For the use it was purchased for it is a good Laptop.,
255,,Comfterbale to use light easy to transport.,
256,,"Good keyboard, long battery life, largest hard drive and windows 7.",
257,,And Toshiba is a quality supplier.,
258,,"I bought this for my daughter to use for school and homework, it's not a ""fast"" computer, but it's great for what she needs it for and very light weight!",
259,,Love the price too!,
260,,"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",
261,,It is small enough to fit in one of my purses!,
262,,"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",
263,,"The battery life is amazing, the versitility is outstanding.",
264,,The ease of set up was terrific.,
265,,I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever.,
266,,"I had to adjust my mousepad sensitivity, because it is very sensitive.",
267,,"Keyboard is great, very quiet for all the typing that I do.",
268,,"Screen is crystal clear, yes it's small - but it's a netbook!",
269,,Windows Vista makes this computer almost unusable for online service.,
270,,I've tried going back to XL but there still problems.,
271,,The technical service for dell is so 3rd world it might as well not even bother.,
272,,Just a bunch of idiots who's English as a 5th language is forced at best.,
273,,I'm all for saving money but Dell needs to step it up.,
274,,Good price.,
275,,Basic computer.,
276,,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,
277,,It has worked fine.,
278,,Handles all my basic media needs easily.,
279,,Can listen to my music and watch my videos with ease and with a great display.,
280,,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,
281,,It's a great prodcut to handle basic computing needs.,
282,,Took it back as it was defective.,
283,,Page just disapeared after you got yahoo or downloaded something.,
284,,Couldn't keep a page up you were working on!,
285,,Dell Latitude d620 is not a reliable machine.,
286,,"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",
287,,Later it held zero charge and its replacement worked for less than three months.,
288,,The machine is slow to boot up and occasionally crashes completely.,
289,,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",
290,,"The touchpad is extremely sensitive, which is the only drawback.",
291,,"Otherwise, I love it!",
292,,"The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.",
293,,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",
294,,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",
295,,both upgrades were quickly accomplished after purchasing the necessary Product Key.,
296,,"Other installed features, such as certain printer software, are also most attractive.",
297,,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",
298,,I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,
299,,"Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.",
300,,It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them.,
301,,"And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",
302,,"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",
303,,Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?,
304,,Probably not ever again.,
305,,I'll rather be out of date then spend more money on toshiba.,
306,,Remember to do your research first before consider buying a toshiba product.,
307,,All I can say is W-O-W.,
308,,This laptop is insane!!!,
309,,It's so nice to look at and the keys are easy to type with.,
310,,I bought a protector for my key pad and it works great :),
311,,This is definitely a computer worth the money;,
312,,The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,
313,,"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",
314,,"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",
315,,The Apple team also assists you very nicely when choosing which computer is right for you :),
316,,"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.",
317,,DEFINITELY recommended!!!,
318,,"This computer gets very hot, before shutting down.",
319,,It is not ideal for children because of the temp.,
320,,"I Contacted HP  about this situation and was given excuses, without results.",
321,,They didn't even try to assist me or even offer a replacement.,
322,,I will never purchase a HP again ever.,
323,,"Let's just get this out of the way, I love Apple!",
324,,So this review might be a tad bit bias.,
325,,But the Macbook is the best!,
326,,It is super easy to use.,
327,,All you have to do is turn it on and it works.,
328,,"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",
329,,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",
330,,But if you are in the computer field you probably wouldn't be here.:),
331,,In the past four years I've had it I have never once gotten a virus.,
332,,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",
333,,"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",
334,,"Also it is very good for college students who just need a reliable, easy to use computer.",
335,,Hope this helped!,
336,,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.,
337,,"I will NEVER buy (Refurbished) again, I don't cae how cheap it is.",
338,,I'll wait and save up for a new one.,
339,,Just don't waste your time and money on this.,
340,,"I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS",
341,,Strong performance in this device makes use of fun and a strong sense of the era of speed,
342,,This device serves all modern requirements is a very strong game and is very useful for designers.,
343,,Enjoy that Toshib force and durability unparalleled,
344,,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",
345,,"The battery life has not decreased since I bought it, so i'm thrilled with that.",
346,,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",
347,,I would easly reccomend this laptop to a friend.,
348,,"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201",
349,,Ive had to call tech support many times.,
350,,Each time taking about 1 day or so.,
351,,I just recently had to ship my laptop back to HP for repair.,
352,,I had to wait 3 weeks to get it back and it still is not working properly.,
353,,I had to pay for the shipping!,
354,,I will never buy anything from HP again!,
355,,I had this computer for one month and had to send it in for repair.,
356,,Got the computer back a month later and it was still broken sent it out again and they repaired it.,
357,,3 weeks went by and the computer keeps crashing and will not open any applications.,
358,,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,
359,,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,
360,,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,
361,,I have so much trouble turning the computer on.,
362,,It comes on for seconds then shuts itself off.,
363,,"My mistake was to not research this one, no DVD and no place to insert my ad card to download pictures.",
364,,I was in a big hurry to buy a computer just to produce a newsletter for my job.,
365,,I should have waited to find a higher quality computer.,
366,,Terribly slow...,
367,,Start up time took forever everything runs very slowly.,
368,,It is very difficult to use this computer.,
369,,Too many steps to get anywhere and hard to set up,
370,,works good but doesn't seem like it's made sturdy.,
371,,kinda to light and plastic feeling.,
372,,i have square trade for it just in case it breaks,
373,,Very fast and good for most steam games.,
374,,"Don't expect great graphics, though.",
375,,"The keyboard and sound are great, and the matte screen works well.",
376,,Can run CS:GO at 60 fps on low settings.,
377,,Computer was DOA.,
378,,Turned it on and it was beeping.,
379,,Looked up the manual on another computer.,
380,,The manual said that particular series of beeps indicated a video problem.,
381,,Have the unit serviced.,
382,,Lenovo sent me a box to return it to them.,
383,,They claim they will have it back in six working days.,
384,,We'll see.,
385,,"Once I get a working computer, I think I will like it.",
386,,I've had Lenovo computers before.,
387,,Built in mike is really poor and unusable for Skype or any other purpose.,
388,,And the only microphone input is for a combo Mike/Speaker plug.,
389,,So to communicate I need to wear ear plugs or a headset with a built-in mike.,
390,,That's a nuisance for family Skype calls...only one can speak at a time.,
391,,I bought this laptop because of the performance to price ratio.,
392,,"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",
393,,"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.",
394,,little short on RAM but you get what you pay for.,
395,,"the hinge design forced you to place various connections all around the computer, left right and front.",
396,,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",
397,,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,
398,,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",
399,,"When I got this laptop in 2007 to help me with school, I had a hard time from beginning.",
400,,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",
401,,Couldnt not use it.,
402,,Tried to make a recovey disk wouldnt get passed the first recovery disk.,
403,,defective software.,
404,,returned it to walmart.,
405,,This was the second computer and brand bought that day.,
406,,"Waiting for the i7 was well worth it, great value for the price.",
407,,"Bigger HD, better graphics card, and a bid HD.",
408,,There is nothing to complain about the system.,
409,,I have used PC's and converting to this MacBook Pro was easy.,
410,,If you have the money I suggest going for the i7.,
411,,This computer was awful!,
412,,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,
413,,The computer first started malfunctioning 3 months after purchasing it.,
414,,It does not keep internet signals no matter where you bring it.,
415,,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",
416,,"When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.",
417,,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.",
418,,"This computer was awful, I would never recomend it to another person.",
419,,Those moments in thime where you want to throw something against the wall?,
420,,"Yeah, I wanted to throw that lap top out the window and light it on fire.",
421,,That's how frustrating it was.,
422,,It really is perfect for work and play.,
423,,I am able to play 720p and 1080p media files just fine with it.,
424,,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,
425,,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",
426,,"I upgraded it's RAM to 2GB, I am very happy with it.",
427,,What a great little laptop.,
428,,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,
429,,I bought it to use in college and it is perfect.,
430,,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,
431,,I made a perfect decision when I bought the Toshiba!,
432,,The Mac Book Pro performs flawlessly.,
433,,"Never had a single problem, and don't have to worry about viruses.",
434,,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",
435,,Worth the investment and truly a fine piece of equipment.,
436,,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",
437,,"It even has a great webcam, and Skype works very well.",
438,,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,
439,,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",
440,,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",
441,,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",
442,,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",
443,,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",
444,,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",
445,,i love to use it it is esay and light.,
446,,this laptop is durable and it is easy to travel with.,
447,,i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,
448,,this laptop is great for work and doing my pictures.,
449,,"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",
450,,the programs are esay to use and are quick to process this computer works like a charm.,
451,,i can use it for all of my needs.,
452,,i give this laptop a five star review i love it and it has done chams for me.,
453,,if this computer every breaks down on me i will most definatly get the same one again.,
454,,i think that anyone looking for a good durrable laptop then this is the way to go.,
455,,"been a PC user for many, many years.",
456,,"Let me tell you, this machine is great.",
457,,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",
458,,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",
459,,The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.,
460,,The only time I have restarted is during system updates.,
461,,great machine if you want to drop the cash for one.,
462,,I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it.,
463,,The Internet Explorer was very slow from the very beginning.,
464,,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.",
465,,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,
466,,"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.",
467,,"This Notebook restarts every time there is a new update, so if you don't save your files and information, everything will be lost.",
468,,Another issue I have with it is the battery.,
469,,Maybe three or four months ago it started blinking all of the sudden.,
470,,"There is a small red circle next to it with a x in the middle, and when I click on it it says: "" Consider replacing your battery"" and it does not hold full charge.",
471,,"It is not even a year old yet, so I would definitely not recommend it to anyone.",
472,,Don't waste your money!,
473,,STOPPED BOOTING UP less than a week after my one-year warranty was up.,
474,,Toshiba knows there is a manufacturing defect but will not acknowledge it.,
475,,"Summary: After doing some investigation on the web, I have found that Toshiba NB205s are not chronically not booting.",
476,,"Apparently there is a manufacturing defect, something with the amount of thermal paste.",
477,,TOSHIBA WILL NOT ACKNOWLEDGE THIS PROBLEM.,
478,,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",
479,,I loved the netbook (minus the fact that it was windows OS) until this started happening.,
480,,"But if you can't make your product last more than a year, you will not get my business again.",
481,,It has good speed and plenty of hard drive space.,
482,,The only downfall is the volume control.,
483,,The wheel that turns the volume up and down doesn't work in real time.,
484,,I have to keep turning it until it decides to lower and there is no mute.,
485,,"Its not just slow on the internet, its slow in general.",
486,,No I am generous calling it slow.,
487,,its more like a snail crawl.,
488,,I bought for my son in the 2nd grade.,
489,,he can't stand it.,
490,,I can't begin to say how disappointed I am.,
491,,I should have spent an extra hundred bucks and got a full sized computer.,
492,,The Toshiba Satellite laptop is  DESIGNED  to fail !,
493,,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,
494,,Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,
495,,I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,
496,,Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,
497,,I would like to tell you about the best laptop I just got from Mac.,
498,,"I work in film editing and post production, so I need a laptop that not only has power, but memory and speed as well.",
499,,My mac laptop is fabulous in both areas.,
500,,It gives me the power and speed that I need to run all the programs I use to edit.,
501,,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",
502,,I would buy one of these for every person in my office if I could.,
503,,"In my line of work, I often have to take work home, and this makes it so easy.",
504,,"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",
505,,"The apple care has never failed me, and I expect it to be the same for this computer as well.",
506,,I will only buy apple laptops from now on.,
507,,My MacBook Pro has been a huge disappointment.,
508,,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",
509,,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",
510,,I would not recommend this product to anyone.,
511,,Outstanding laptop and very well built.,
512,,This unit will replace my old desktop.,
513,,The retina display is fantastic.,
514,,awesome price for a laptop that lasts more than 8 hours without recharging!,
515,,are u serious?,
516,,awesome!,
517,,Love the computer.,
518,,Hate Windows 8.1!,
519,,Had to return the computer.,
520,,Keeps freezing,
521,,Terrific laptop.,
