Document,Stars
 THese running board grips look nice. Installed on my 95 Arctic cat EXT. They look so nice. Instalation is a brezze too. Just clamp the surefoots in the place you want and drill the holes. Get your rivet gun out and snap they are done. Very very easy. Only thing is that if you need to cut to size you may have troubles cause the alluminum is rather thick. , 4.0
 This CD earned a Ravereview in the American Record Guide Nov/Dec98 vol.61NO.6. It was written by John Bell Younghere are some excerpts, 5.0
 Patricia Scanlan has written with great humour of a family fued built by jealousy resenment and love. Emotions which abound in life but are complex and difficult to solve. I enjoyed the ending (every dog should have its day!) although it was a little predictable. , 4.0
 This Reunion of two superstars is long overdue in CD form. Every one of the 24 songs is enjoyable. My own favorite is The Moon is a Harsh Mistress. I'm not a big country music fan but this album should appeal to a wide range of listeners. I've been a Jimmy Webb fan since his work with the 5th Dimension and Richard Harris. His writing is the best and Glen Campbell's voice has never sounded better. I ordered the CD based on the pre-release mention on the VH-1 special on Glen Campbell and have played it daily since it arrived. It's a real pleasure to hear this great work. , 5.0
 When we bemoan the awful disco of the 1970s we forget the creatuve force of writers like Jimmy Webb. His 'Reunion' album with Glen Campbell (in fine voice--light years from his insufferable 'Rhinestone Cowboy' days)--features excellent imagery-laden lyrics with heart-tugging melodies and gorgeous string arrangements that never seem smarmy. 'Wishing Now' 'It Must Be a Sin' and 'I Keep It Hid' are worth the whole price of admission. Even though some of the added material features non-Webb arrangements that pale in comparison (though Campbell meets the challenge of 'Highwayman') the whole thing reminds you of a time when genuine emotion still pervaded popular music. Some lovely stuff here. , 5.0
 Of all the great song writers whose work is best interpreted by someone else only the Byrds doing Bob Dylan can outdo Glen Campbell's covers of Jimmy Webb tunes.This CD is made up of the 1974 Campbell-Webb 'Reunion' album and fourteen 'bonus' tracks. (You get a lot for your money.)On a solid CD full of great music 'The Moon is a Harsh Mistress' stands out as the best as beautiful a song as any that Jimmy Webb has ever written and Glen Campbell's version sends shivers up the spine. 'The Moon is a Harsh Mistress' reminds me a lot of Gordon Lightfoot's 'The Last Time I Saw Her Face' (which Campbell has covered) and like the Lightfoot song the lyrics are stronger than the music.Another stand out track is 'Christiaan No' Webb's ode to his son (Campbell's Godson).This is one of those CDs that you can listen to from beginning to end without skipping a tune. Sitting back and enjoying music like this is one of life's great pleasures. , 5.0
 After years of waiting here is a well put together release featuring the entire 'Reunion' lp + other classic Glen/Jimmy Webb gems that are just now becoming available on CD for the first time and boy is it nice to hear these in the digital format. So clean sounding! This should hopefully make way for some more Glen albums to come out on CD. Lovely job on the liner notes too! , 5.0
 Finally the long awaited CD that all of us Glen Campbell/Jimmy Webb fans have been waiting for! This CD includes Glen's best album from the 70s 'Reunion' along with virturally all of his covers of Webb's later songs. A must have CD! , 5.0
 Say what you will about Glen Campbell the man has one heck of a voice. Although his material often borders on and on occasion crosses the 'corny' line. Not so in his collaborations with the great Jimmy Webb. For a more perfect marriage of songwriter and singer you'd have to go to Bacharach/Warwick or Carole King/Dusty Springfield.This album is a veritable treasure trove of some of the most beautiful yet obscure Jimmy Webb songs. Webb's lyrics have always astounded me - so much depth for such a young man(barely out of his teens at the time). Jimmy Webb wrote some of the most poignantly mature lyrics(and to an extent melodies)to ever be recorded in the 20th Century. There are songs on this album - 'The Moon's A Harsh Mistress' 'You Might As Well Smile' - which are so sophisticated yet heart rending that you just might find your eyes welling up.In the late 60's and early 70's Jimmy Webb had no real competition when it came to writing songs of lost love. And Glen Campbell's huge vocal range just serves the songwriter's intent like a hand in a glove. It's nothing short of a blessing that these 2 men worked together so well.If you purchase no other Jimmy Webb and/or Glen Campbell album you owe it to yourself to savor this musical feast. It's that good! But don't take my word for it - hearing is believing. , 5.0
 I have very little in my head from the 70's. But I had the cassette of this album and played it in a shoebox player until it broke. I probably have every song in my head still. I wish more singers would create cds of special writers songs like this. , 5.0
 As other reviewers have righly asked how was this not a big seller upon its release? So many good songs sung so well. I never tire of listening to this one. , 5.0
" Jimmy Webb is the quintessential great American poet and Glen Campbell is the only voice alive who knows Jimmy Webb's heart well enough to vocalize it this well! This is a beautiful album - every lyric and every note!! How's this for poetry? 'I remember times when you held me. You'd freeze my spine. We were lookin' in the mirror at the time; I got confused and I thought your eyes were mine...' GOOSEBUMPS I TELL YOU! In addition to the great songs from the original Reunion CD there are bonuses on this compilation like Still Within the Sound of My Voice and the ONLY VERSION of The Highwayman that is worth listening to is by Glen Campbell (I mean I like Willie and Johnny and Waylon as well as the next person but Glen just GETS IT you know?). Another favorite is Light Years...one man feels what he writes down to his very bones and the other one sings what he feels down to his soul...you simply cannot go wrong with this CD (program your player to skip the song In Cars...ENJOY ENJOY ENJOY And what ever you do - BUY THIS!!! ", 5.0
 This album remains has remained my all time favorite for 22 years.Glen Campbell sings Jimmy Webb like no other.While this CD offers extra's--the Reunion album is the first 10 songs-the songs are exquisite Campbell's singing delivery is clear and uneffectedwhile DELIVERING each and every song.Orchestration is seventiesstringsetc.--but it supports the songs.If only I had taken the trip to New York to see he and WEbb last year at FEINSTEIN's--I heard it was amazing. , 5.0
 If Reunion would have been a followup to Rhinestone Cowboy - it would have been one of the best of the 70s. Great material. , 5.0
 As someone who LOVES the music and heart of Jimmy Webb I was delighted with this album. All of the Reunion cuts are fabulous but I already had them. The song Lightening In A Bottle alone is worth buying the album. It is Jimmy Webb and Glen Campbell at their collective best. For Webbheads everywhere and Glen Campbell fans--you gotta have it! , 5.0
 I have other Jimmy Webb CDs and this is a perfect compliment to those albums. If you are a big Glen Campbell fan this is PERFECT for you. If not get it for Jimmy Webb. , 4.0
 As someone who LOVES the music and heart of Jimmy Webb I was delighted with this album. All of the 'Reunion' cuts are fabulous but I already had them. The song 'Lightening In A Bottle' alone is worth buying the album. It is Jimmy Webb and Glen Campbell at their collective best. For Webbheads everywhere and Glen Campbell fans--you gotta have it! , 4.0
 This is the album that made me forget I only listened to rock. Before 'Reunion' I looked with disdain on anything that smacked of country music. I disliked country and disliked people who liked country music.Then with this record I realized that genius knows no boundaries. Jimmy Webb may be one of America's greatest contemporary composers and no one can deliver his compositions more elegantly than Glen Campbell.If you love melody if one of the things you love about music is that it can take you down to that place of reflection and remembrance if you understand the difference between sentiment and abject pain then you must listen and then listen again to this masterpiece of an album. , 5.0
 Beginning around 1967 songwriter Jimmy Webb and singer Glen Campbell were often mentioned in the same breath. That's because Campbell recorded so many Webb songs and had so many hits with them (including 'By the Time I Get To Phoenix' 'Galveston' 'Wichita Lineman' and 'Honey Come Back' as well as lesser-known songs such as 'Just Another Piece of Paper') and the match was perfect. While Webb's songs were also hits by the likes of The Fifth Dimension Art Garfunkel Richard Harris and the Brooklyn Bridge Campbell remained at the forefront of Webb interpreters. When the LP 'Reunion' was issued by Capitol Records in 1974 it was a godsend for Webb/Campbell fans. It contained eight Webb compositions plus one song each by Webb's sister Susan and a tune by Little Feat's Lowell George both superbly arranged by Webb. No hits came from the LP and to my knowledge no singles were issued. When the LP eventually went out of print those of us who loved it bemoaned its unavailability. But now Raven Records has reissued it on CD as 'Reunited' with FOURTEEN bonus tracks! These tracks are Webb songs that Campbell recorded here and there over the years for Capitol Atlantic and MCA Records and it's SO wonderful to have them all gathered together here. If all you know is Campbell's hit records and Webb's hit songs here's your chance to hear outstanding renditions of terrific songs. The beautiful timeless 'The Moon's A Harsh Mistress' is here along with such unheralded gems as 'Lightning In A Bottle' (one of Webb's best songs and one of Campbell's finest vocals) and 'If These Walls Could Speak.' Both Webb and Campbell were at the absolute top of their forms on the songs that make up this CD and Raven Records is to be commended for the reissue which includes an informative photo-laden booklet. Check out the samples offered by amazoncom then BUY THIS CD! You won't be sorry! , 5.0
 From the first tune the chills came back. And when Glen rips into the words early on in Just This One Time I was back to the old chair with the vinyl on the stereo. The tunes are a testament to Webb's remarkable writing and arranging talents. He puts himself up for all to see and speaks as if he has read my thoughts. Such a long lost treasure found again....thanks to the Aussies for put it all together! Now I must get back to listening...and smiling! , 5.0
 This CD elevates Glen Campbell's talent to heights that would surprise those of you who only know him by Rhinestone Cowboy and Southern Nights.This folk/pop/country/gospel collection rivals the finest works of James Taylor Art Garfunkel Jim Croce and well you name it.All the tracks from 1974's REUNION album are here which Rolling Stone magazine labeled Glen's finest album of the 1970's. Plus tracks which will knock your socks off including the wonderful homage song to a three year old son Christiaan No from 1976. Early Morning Song from 1977 which is eerie and charming at the same time. Highwayman from 1979 the song later made a big hit by Johnny Cash etc. which Glen helped on behind the scenes and proves the reincarnation theory. Even the song reincarnated itself to be a Grammy award winner in the 1980's!Lightning In A Bottle is gorgeous beautiful and a masterpiece and 1987's Still Within The Sound of My Voice picks up where Playground Susie ended 30 years prior. 24 tracks in total makes this an outstanding value and you will listen and listen again.Bottom line buy it this is a blue chip CD you want in your portfolio of music! , 5.0
 Okay put aside everything you know about 'Glen Campbell' (Tanya the born again stuff whatever....) and buy this astonishing CD. It's clear through this comprehensive release that Jimmy Webb is at the peak of America's songwriters in either the 20th or 21st century -- there's just something about a Webb song that digs so much deeper than anything anyone else writes and yet the songs remain fully based in the singable pop genre. And Campbell here knocks them all out of the ballpark. Among the many vast highlights are 'Still Within the Sound of My Voice' 'I Keep It Hid' and 'The Highwayman.' If you're in any way an admirer of the extensive songwriter/singer work between Webb and singers such as Art Garfunkel (the sensational 'Watermark' CD) and Linda Ronstadt (especially on 'Cry Like A Rainstorm') then this CD is an absolute must. In fact this has zoomed up into my top CDs of all time (and that company includes Jennifer Warnes' 'Famous Blue Raincoat' Joni Mitchell's 'Court and Spark' Mary Chapin Carpenter's 'Come On Come On' and Jane Olivor's 'First Night.') Highest recommendation! , 5.0
 The assiduous Glenn A Baker has again dug deep into the archives to unearth 14 bonus tracks to tack onto the superb'Reunion' album of Webb and Campbell from 1974. Liner notes speak of Campbell's 'raw impassioned quality' on those initial 30 minutes. With Webb more restrained at the keyboard the balance with the singer is just right. The album kicks off with a sensational reading of Lowell George's'Roll me Easy'. He could not have avoided hearing George's sumptuous swaggeringly sensual version doing the rounds at the time. Campbell triumphs however with a vigour I'd never heard from him until this moment. Until Webb's'Archives' was released(with the unavailability of his masterly'Land's End') it was difficult to access the superb'Just This One Time'. 'The Moon's A Harsh Mistress' is another achingly sweet work every bit as seductive as the better known version by Art Garfunkle. And'It's a Sin' is a scorching finale to the original set. The bonus stuff is not up to its meter.'Highwayman' and'Love Song' are both more convincing on Webb's CDs. Only'Light Years' and'If These Walls Could Speak' hint at the glory attained in the preceeding reunion. They are not poor pop or country by current standards. But they are not the high octane Campbell of this one outing which cut him from the plethora of competent cowboy singers of his day. , 5.0
 I can't express my gratitude at the reviews I've read enough - I remember finding 'Reunion' in the remainder bin at a Caldor's a couple of decades ago. I couldn't believe what I was listening to when I got it home. How could this album not be a top seller I thought? 'Wishing Now' is one of the most achingly joyous if that's the best way to put it songs of longing you'll ever hear. 'You Might As Well Smile' is a masterpiece of soulful humanity. 'The Moon's a Harsh Mistress' is pure poetry set to music. One of the GREAT albums of all time - period. , 5.0
 This disc proves that there's much more to the Campbell/Webb association than the 4 or 5 hits from the late 60s we all know and love. 'The Moon's A Harsh Mistress' 'Highwayman' 'Lightning in a Bottle' and 'If These Walls Could Speak' are particularly fine Webb songs and they're given superb renditions by Campbell. The chemistry has always been right between these two and I hope it's not the last we hear of them together. , 4.0
 This is the true story of a mother superior named Sister Benedetta Carlini and another nun from a small village near Florence in 17th century Italy who basically liked to rub bodies together in bed until they reached orgasm. This if course was a big no-no if you're a nun sworn to chastity. People found out and there was a trial in which the private sex life of these two nunnies was exposed. The scandal made them both lose their reputations. This is one of the earliest and most sensationalistic accounts of lesbian love on record. The fact that it was between two nuns makes it just that much more shocking and intriguing.(...) , 5.0
 I'm super happy with the items I bought. The colours are awesome. Seller shipped very fast. Over all I'm very happy with the colour pay off and the ease in which they apply. Seller is A++!! , 5.0
 It is a great tool and glad the manufacturer stands behind their products. They exchanged the Spanish for English. The tools is worth the money just make sure you get it in the correct language. I am just to OLD to learn a new language. , 5.0
 Una excelente guia para todos aquellos que deseen concer mas aobre el vino y su mundo. De forma amena y sencilla explica los principales conceptos y orienta sobre temas basicos como la eleccion del vino corecto principales tipos de vino como comprar vino en restaurantes o tiendas etc. , 4.0
 I had to modify the case a bit but it works well other than that. I'm not noticing any pressure spikes. , 4.0
 Thank you so much for the cookbook. I received it in a timely manner and it was in perfect condition. What a wonderful way to receive a book that was impossible to find before. , 5.0
 the hook at the end of the handle is good for keeping it from flying out of your hand. this thing is pretty heavy and solid. the leading edge is rounded while the back edge is triangular shaped. the grip could be better but overall it's a great beater. , 4.0
 Charlie Adams is one of those great artists who some how slipped through the cracks and never quite made it to the fame that he deserved! But thanks to Bear Family Charlie Adams is back in circulation with tunes like the title track 'Cattin' Around' which really bounces. Other uptempo western swing numbers like 'T.T. Boogie' 'Baby Let Me Kindle Your Flame' and 'I'm an Army Man' are balanced with down right honky tonk tunes that hit the mark that modern day country music can't even get close to. Songs like 'I'm A Railroad Daddy' and 'I'm Gonna Put My Foot Down' are the kind of songs that parallel Hank Williams Sr. in style. Mournful ballads and weepers round out the album's content with songs like 'My Blue Monday' and 'I'll Remember Your Love In My Prayers'. Two of the songs on this album could probably have been left off but they do speak of the era. I'm sure that had Charlie Adams known what we know now he probably would never have recorded 'Hey Liberace'. This novelty tune is even funnier knowing Librace's sexual preferences the lyrics are forgivable knowing the era that they were written and the song itself is a great arrangement. Pistol Packin' Mama is done very well too but it's just a song that's been done to death - again a reflection of the times. Over all - if your looking for how country music should really sound this is the disc for you! This is a disc that you'll have a hard time taking out of your player! , 4.0
 While the quality of the product is great like so many wash pants today there is no room at the waist for making adjustments. The rear seam is extremely tight and while it can be taken in with difficulty there is no room for letting out even 1/2 inch. Purchase a size above your waist size and unless you can do it yourself be prepared to pay for making these a good fit. Of course if you don't mind bunching at the waist you'll be OK. , 3.0
 very happy with the look and fit. the fabric feel is great don't even think of them as 'khakis'. , 5.0
 The pants are very soft and comfortable. The color holds up fairly well but I do wish the darker colors held better. I do recommend them. , 4.0
 Dockers are Dockers so that's not the problem. Just be sure you don't trust the images if you choose to buy these via Amazon. 'Cafe' for example should be 'Coffee.' Despite the fact that the image for 'Cafe' shows a stone or very light gray color 'Cafe' is actually dark brown. So the product isn't defective but IS misleading, 2.0
 To often I have made the mistake of ordering from unreliable clothing sellers but not here. These are real Dockers slacks with real quality. These run true to size and are excellent quality materials for a decent price. I like the pleated slacks myself because after hitting thirty plus most men have a little extra in the handle section. Pleats seem to disguise that nicely. I recommend these because Dockers are great slacks and wear well and these are true Dockers.CA Luster , 4.0
 Product arrive well ahead of schedule met expectations and price was better than local retail. , 5.0
 received the pants when you said. they fit. i am pleased with the purchase and the delivery , 5.0
 I absolutely love these (white) Dockers pants! They go very well with both polo shirts and long-sleeve dress shirts and are made of very comfortable cotton. For summer wear you can get a casual yet very classy look if you pair them with a shirt from Van Heusen DKNY Pierre Cardin Geoffrey Beene Stafford or other such brand. The 'individual-fit' waistband automatically expands by one inch for added comfort. , 5.0
 I hate shopping anywhere but online. Pant sizes however tend to be so irregular that I've had no choice but to head for a Sears or Kohl's (or Walmart if it's closer). Finally a solution, 5.0
 Pants fit real nice. They have the individual fit waistband that is real nice. No complaints so far. , 5.0
 I bought these for my father who is 6'5'' for father's day in black {36x36}. They are excellent quality have a great fit and look perfect on him. Great range of sizes! , 5.0
 I ordered the individual fit Dockers pants. Although there was a tag on the pants that said they were individual fit thy lacked the inside label I am used to seeing stating they were individual fit. The fit seems a little different from other individual fit pants I have purchased. I think next time I will go back to a local retailer. , 3.0
 I really like these pants. They fit and are a little stretchy in the waist. It is just enough to make up for some of the mid-life expansion my body is going through. I bet it will work for you too! , 5.0
 They're fine as one might expect from a well-established brand. Yup they stretch to 37 or 38s in denial. , 3.0
 I bought these pants for my husband for work and he loves them. They wash well and still look good! , 5.0
" I have worn these pants for years; my size is the same as always. I couldn't get them on; they were so tight I couldn't get the button buttoned around the waist. What is going on? These pants seemed to be cut for a skinny 25 year old not someone who is a little on the hefty side. Further the shipping and handling charges are just out of sight...$16.95 above and beyond the already rather pricy product. I would not recommend doing business with this seller at all. You can go to other outlets and get the same thing without the shipping and handling and there are 'deals' out there from major store chains. I was really disappointed in this product and the seller. Go to WalMart and get their khakis; they are very inexpensive and wear like iron. ", 2.0
 I did not pay extra for shipping and thought I might regret it. I received my son's pants within 3 days!!! Awesome!! , 5.0
 It's tough to beat Dockers for casual pants - good looks and a good fit. , 5.0
 These pants attract and hold lint. It is the fabric that does it but black shows it the worst! , 3.0
 Fit was decent. A little more snug than I had wanted or expected color was lighter than it appeared when ordering. Also the rise was a little shorter than I prefer to wear my slacks.They have worn well. , 3.0
 These are great pants. They are really comfortable and easy to care for. I'm saving money too because I don't have to take these to the dry cleaners. I love the 'Individual Fit' waste band. Who wouldn't like pants that fit a larger waste size without making you admit the weight gain by buying the larger size. , 5.0
 These pants are really great. They fit well and rarely wrinkle. I like that they are really classic - I can wear them at the office and then I can wear them if I go out later in the evening as well. I have owned a lot of Docker's pants and they all last extremely well. , 4.0
 I have bought dockers for years but these are cut smaller than they usually are. Even with the 'stretch' waist band they are tight. So much for an 'extra' inch. Beware. Try these in a store before you buy. , 2.0
 This product earns five stars not just because it is comfortable to wear and looks good but because it is available in more size (inseam) ranges than other Dockers products. And by ordering online one can largely avoid the disappointment of store stock outs. , 5.0
 I ordered these slacks specifically because the description said they had a comfort-fit waistband. I am an ostomy patient and occasionally need that little extra inch the elastic expansion in the waistband gives you. Despite clearly stating that these pants had that comfort-fit waistband the pants I received did not have it. In all other regards these pants are perfectly fine They fit well and are in every other respect exactly what I expected. However the fact is that they are still not what I ordered and are not as described. , 3.0
 We had a hard time finding Dockers in 29x30. This place had them and they fit great. Shipping was quick. We would buy from again.Recommended!! , 5.0
 The Dockers 'individual fit' system works well in that one can get by without 'odd' waist sizes like 33 35 etc. by ordering even sizes and allowing the system to stretch a bit if it needs to. These pants are very durable and still look presentable after washing and machine drying. An ironing every so often would probably be useful for 'business casual'. A good value. , 5.0
 I went online for information about Dockers Khaki pants. The size my husband wears are very hard to find in stores. I was very impressed with the selection I had and he was thrilled to have all these pants without having them taken up in the length. The delivery was quick (especially during Christmas) and I really appreciate all the effort made to send us the selections we chose. , 5.0
 The pants were just what I was looking for and the seller Beals Florida was prompt and courteous. , 5.0
 Vendor shipped quickly. The quality of Dockers products is getting worse with their outsourcing to different countries. I have 5 pair of these pants and they are all manufactured in different countries and the length varies plus or minus 1.5' for the same listed inseam. Plan a few dollars for inseam adjustment if you do not sew. , 3.0
 I DID NOT GET THE SLACK THAT HAD THE WAISTBAND. I GOT SLACK WITH NO WAISTBAND SO I SEND THEM BACK AN WAS TRYING TO GE A 42 29 BUT I RECEIVED A E MAIL STATETING THAT THE PRODUCT WAS NO LONGER AVABILITY. SO FAR I'AM NOT SURE WERE MY REFUND WENT. PLEASE LET ME KNOW.TOM ATKINSON , 1.0
 Ok so these are great pants. Come on guys. They are pleated. Even though the stores sell pleated pants doesn't mean you should be wearing them.The only thing the pleats do is add bulk to the waist line area and make you look fat or fatter.Just get the flat front Dockers and do all of us a favor. , 5.0
 I bought 3 pants.2 were in a great shape.1 had a hole in the seams and a week later I found another one. , 3.0
 I agree these are cut small... Buy an inch or two larger than you normally do. The waist band does NOT stretch. , 2.0
 I got the shippment quickly. But wrong items was sent. I have to return it to the seller. I got the refund pretty quick but only for the value of product. I spent about &10 for two way shipping without geting anything. , 2.0
 Did not like the pants at all and threw them in the trash rather than pay return postage. Flimsy smelled of dye cheap fabric etc. Too bad. , 1.0
 This product was just what I was hoping for and I had no problem with shipping. I highly recommend this product. , 4.0
 'Package arrived before the estimated date and actually was delivered the same day as another item ordered from another seller which was sent 2nd-day air on the same day! Way to go Bealls! The pants fit fine right colors right size so that's what counts.' , 5.0
 Merchant was out of stock on the second pair of pants so when it was shipped I was charged $9 again when the second pair was in stock weeks later.Will not buy from Amazon vendors again. , 1.0
 Good communication and super-fast shipping! Item arrived exactly as described (I am actually wearing them right now...). I have never had a better online purchasing experience. Thanks a million! , 5.0
 Because of its extensive bibliography and excellent index this biography of William Procter Jr. serves well as an introduction to the origins of professional pharmacy in the USA.For more information about the book and its topic contact the American Institute of the History of Pharmacy (AIHP). , 5.0
 This recording of Parsifal is one of the best ever made. The sound is excellent and the Bavarian Radio Orchestra paced by Kubelik plays superbly! The singers are all excellent. James King in the title role does not have the vocal heft of a true heldentenor or 'tenore di forza.' So his potrayal is not in the mode of say Domingo Vickers or Thomas. Yet his contribution is quite poignant and heartfelt and so he makes the role credible. Just listen to his 'Amfortas! Die wunde!' in the second act and you'll know what I mean. Yvonne Minton does not have the powerful mezzo-soprano of some of her predecessors in the role of Kundry such as Dalis or Gorr. But she has a beatiful voice and compelling musicianship. Likewise Bernd Weikl and Matti Salminen as Amfortas and Titurel respectively are in fine vocal estate and make powerful contributions in their roles. The stand out performance however goes to Kurt Moll as Gurnemanz. I own five recordings of 'Parsifal' and do not believe there will ever be as great a Gurnemanz as Moll. As a German his diction is flawless. As are his line tone and the pathos depth and heartfelt characterization he brings to the role. Luxury casting has Lucia Popp as the first flowermaiden.The three best Parsifal recordings I have ever heard are, 5.0
 If you're tired of the 'who can conduct Parsifal most slowly' contest this is a wonderful recording. Makes the opera sound like a dramatic fifth opera of the Ring rather than a infinitely lugubrious funeral. Orchestral balance wonderfully modulated very very good cast. Highly recommended. , 4.0
 There are many very fine recordings of Parsifal in the catalog. In fact it's difficult to find a poor performance. The highlight of this production is the magisterial Gurnemanz of Kurt Moll--possibly the best rendition ever. He is ablely supported by the poet of the baton Rafael Kubelik and a virile James King as Parsifal also possibly his best recorded role ever. The recording has a wide and deep sound stage with excellent sonics. I enjoyed listening to this excellent studio rendition. Wagnerian singing of the highest standards.This recording is near the top of my favorite stereo studio editions along with Karajan's also fine rendition on DG recorded the same year as this one(1980). For the historically minded I would recommend Krauss's 1953 Bayreuth live air check or Knappertsbusch's 1951 Bayreuth live recording on Decca. Karajan's live Vienna aircheck from 1961 on RCA is also interesting but sounds older than the earlier recommendations. , 5.0
 The MP3 files downloadable from this site are not for Parsifal but Verdi's Traviata. Amazon needs to fix this urgently. , 1.0
" Who are the great post-War Wagner conductors? Knappertsbusch? Krauss? Solti? Karajan (if that's your taste)? Barenboim? Goodall? For the connoisseurs perhaps there's Kempe and Keilberth. Maybe even Jochum. But the list seldom includes Kubelik. Yet on disc there's a wonderfully conducted Lohengrin let down by Gwyneth Jones on one of her squallier days but enhanced by a beautiful Elsa from Janowitz. There's what is probably the best all round Meistersinger on disc which is again wonderfully conducted. And there's this Parsifal.This is Wagner conducting of the first order on practically all counts. First orchestral balance. Kubelik is wonderfully sensitive to the combinations and colours of Wagner's score inspired by the unique acoustic the composer had created at Bayreuth. To take just the Prelude the balance between strings and clarinet followed by the addition of the cor anglais in the opening theme is judged to perfection. Then the repeat of the same theme on the trumpet over pulsing 3+2 chords in the upper woodwind and arpeggio strings cuts through just as it should. Come the development section the addition of Horn 1 to Horn 3 at the top of the arch of that same melody enriches the texture perfectly. And so it goes on right through the opera.Then the pacing. Overall Kubelik strikes a happy median between Knappertsbusch and Boulez. But he understand the ebb and flow of the piece so well the mastery of what Wagner called `the Art of Transition'. So the profounder moments in the Grail Castle have all the space and air they need while much of Act 2 is taken at an urgent exciting pace. Indeed unlike most conductors Kubelik seems to see the Second Act as the crux of the piece. (In this he goes along with Wieland Wagner whose graphic chart of the Parsifal Cross showing all the action radiating from the kiss is well worth investigating.) In retrospect the whole opera under Kubelik seems to be one great balanced arch with the Kiss as its keystone. And this is the most comprehensive and fulfilling performance of this Act that I know.Finally Kubelik really brings out the modernity of the piece to the full. Harmonically much of Parsifal and especially Act 3 mark a huge advance over anything in Tristan. And here you also have all those stark juxtapositions of the chromatic with the squarely diatonic (e.g. the Faith motif and the Dresden Amen theme). What I've never noticed before listening to this performance is how advanced it is rhythmically as well. So many of those chromatic themes and motifs involve syncopations and tied notes across bar-lines that totally do away with the tyranny of the bar. It is often as hard to tell where you are rhythmically as it is harmonically. Which of course is exactly what Wagner intendedThe singers it has to be said are not quite in the same league as their conductor. The outstanding performance here is Yvonne Minton's Kundry. One of the best `Ich sah das Kinds' I know; a very sexy seductive lead into the kiss; true tragic angst as she recalls laughing at Christ; hair-raising and scary when she starts threatening. Her intonation is also wonderfully exact in all those creepy chromatic phrases slipping up or down by semitone steps. Moll's performance is streets ahead of what he gave under Levine's lethargic direction but he still can't quite stop Gurnemanz turning into a bit of a bore with his Act 1 narration in a way that a Weber or a Hotter always avoided. King is a sound Parsifal (as he is for Boulez) while never raising the hairs on the back of your neck as Vickers could at points like `Amfortas! Die Wunde!'. Weikl is good but not great. Mazura sings Klingsor's part most musically (no barking) but only Hermann Uhde seemed able to turn the character into something more than a pantomime villain. Salminen's Titurel is impressive but unremittingly forte. The Flowermaidens can be a bit shrill with the exception of the lovely Lucia Popp.The sound (from a Bavarian Radio recording of 1980) is not top flight by today's highest standards but more than good enough to hear all of Kubelik's mastery of this score. And make no mistake. This is masterly conducting well worth hearing. ", 5.0
